Name,Position,Team,Ppg,Ast,Trb,Stls,Blks
Shai Gilgeous-Alexander,PG,OKC,32.7,6.4,5.0,1.7,1.0
Giannis Antetokounmpo,PF,MIL,30.4,6.5,11.9,0.9,1.2
Nikola Jokić,C,DEN,29.6,10.2,12.7,1.8,0.6
Luka Dončić,PG,LAL,28.2,7.5,8.1,1.6,0.4
Anthony Edwards,SG,MIN,27.6,4.5,5.7,1.2,0.6
Jayson Tatum,PF,BOS,26.8,6.0,8.7,1.1,0.5
Kevin Durant,PF,PHO,26.6,4.2,6.0,0.8,1.2
Tyrese Maxey,PG,PHI,26.3,6.1,3.3,1.8,0.4
Cade Cunningham,PG,DET,26.1,9.1,6.1,1.0,0.8
Jalen Brunson,PG,NYK,26.0,7.3,2.9,0.9,0.1
Paolo Banchero,PF,ORL,25.9,4.8,7.5,0.8,0.6
Devin Booker,SG,PHO,25.6,7.1,4.1,0.9,0.2
LaMelo Ball,PG,CHO,25.2,7.4,4.9,1.1,0.3
Damian Lillard,PG,MIL,24.9,7.1,4.7,1.2,0.2
Anthony Davis,PF,DAL,20.0,4.4,10.1,0.6,2.2
Kyrie Irving,SG,DAL,24.7,4.6,4.8,1.3,0.5
Zion Williamson,PF,NOP,24.6,5.3,7.2,1.2,0.9
Stephen Curry,PG,GSW,24.5,6.0,4.4,1.1,0.4
LeBron James,SF,LAL,24.4,8.2,7.8,1.0,0.6
Karl-Anthony Towns,C,NYK,24.4,3.1,12.8,1.0,0.7
Victor Wembanyama,C,SAS,24.3,3.7,11.0,1.1,3.8
Franz Wagner,SF,ORL,24.2,4.7,5.7,1.3,0.4
Trae Young,PG,ATL,24.2,11.6,3.1,1.2,0.2
Donovan Mitchell,SG,CLE,24.0,5.0,4.5,1.3,0.2
Cam Thomas,SG,BRK,24.0,3.8,3.3,0.6,0.1
Tyler Herro,SG,MIA,23.9,5.5,5.2,0.9,0.2
Joel Embiid,C,PHI,23.8,4.5,8.2,0.7,0.9
